BulanTahun,TingkatHunianHotel(%),Events,Inflasi,USDToRupiah,DataAktual
January 2011,42.57,0,0.89,9048,12172
February 2011,44.49,0,0.13,8821.5,14270
March 2011,44.81,0,-0.32,8707.5,15600
April 2011,43.31,0,-0.31,8564,14998
May 2011,44.52,0,0.12,8535.5,16648
June 2011,43.8,0,0.55,8576.5,15979
July 2011,45,0,0.67,8500,17646
August 2011,34.2,0,0.93,8533,13225
September 2011,40.93,0,0.27,8790,14517
October 2011,42.53,0,-0.12,8852.5,15392
November 2011,43.9,0,0.34,9110,19907
December 2011,44.16,1,0.57,9067.5,22296
January 2012,43.2,0,0.76,8990,15384
February 2012,42.52,0,0.05,9020,14843
March 2012,46.93,0,0.07,9144,19228
April 2012,44.49,0,0.21,9190.5,16383
May 2012,45.57,0,0.07,9400,18074
June 2012,42.64,0,0.62,9392.5,16634
July 2012,41.14,0,0.7,9445,15851
August 2012,34.97,0,0.95,9535,14767
September 2012,37.44,0,0.01,9570,16585
October 2012,41.59,0,0.16,9605,15285
November 2012,46.56,0,0.07,9593.5,21112
December 2012,47.23,1,0.54,9637.5,21699
January 2013,38.17,0,1.03,9697.5,14405
February 2013,43.18,0,0.75,9663.5,16419
March 2013,43.71,0,0.63,9717.5,17932
April 2013,41.57,0,-0.1,9722.5,15011
May 2013,45.59,0,-0.03,9795,20659
June 2013,46.35,0,1.03,9925,20729
July 2013,41.6,0,3.29,10277.5,15677
August 2013,45,0,1.12,10920,16275
September 2013,45.89,1,-0.35,11580,18307
October 2013,45.09,0,0.09,11272.5,17404
November 2013,44.08,0,0.12,11962.5,24784
December 2013,47.84,0,0.55,12170,27948
January 2014,37.14,0,1.07,12210,19029
February 2014,42,0,0.26,11609,17780
March 2014,41.14,0,0.08,11360,18493
April 2014,42.17,0,-0.02,11561.5,15956
May 2014,44.85,0,0.16,11675,19781
June 2014,46.64,0,0.43,11855,19376
July 2014,40.1,0,0.93,11577.5,16579
August 2014,42.27,0,0.47,11690,16901
September 2014,45.21,1,0.27,12185,17792
October 2014,44.6,0,0.47,12085,20946
November 2014,44.49,0,1.5,12204,22848
December 2014,45.86,0,2.46,12385,29243
January 2015,47.86,0,-0.24,12667.5,17286
February 2015,48.61,0,-0.36,12925,18082
March 2015,53.05,0,0.17,13075,17491
April 2015,55.09,0,0.36,12962.5,15167
May 2015,54.24,0,0.5,13224,17558
June 2015,53.47,0,0.54,13332.5,15479
July 2015,53.03,0,0.93,13527.5,15879
August 2015,52.58,0,0.39,14050,16490
September 2015,49.85,1,-0.05,14650,14857
October 2015,51.13,0,-0.08,13687.5,14160
November 2015,51.6,1,0.21,13835,16203
December 2015,53.31,0,0.96,13787.5,19166
January 2016,52.45,0,0.51,13775,10080
February 2016,48.78,0,-0.09,13372,14851
March 2016,49.86,0,0.19,13260,15730
April 2016,49.35,0,-0.45,13185,13280
May 2016,49.45,0,0.24,13660,15515
June 2016,46.62,0,0.66,13212.5,12746
July 2016,55.43,0,0.69,13098.5,17999
August 2016,52.96,1,-0.02,13267.5,15890
September 2016,50.11,1,0.22,13051,19221
October 2016,59.53,0,0.14,13048,21300
November 2016,52.16,0,0.47,13552.5,21083
December 2016,51.41,0,0.42,13472.5,26252
January 2017,40.44,0,0.97,13352,18457
February 2017,43.44,0,0.23,13336,15680
March 2017,45.95,0,-0.02,13325.5,20767
April 2017,43.46,0,0.09,13329,19273
May 2017,43.83,0,0.39,13322.5,19013
June 2017,43.71,0,0.69,13327.5,18464
July 2017,52.32,0,0.22,13325,20437
August 2017,44.71,1,-0.07,13343,25201
September 2017,42.45,1,0.13,13471.5,19150
October 2017,47.24,1,0.01,13562.5,20738
November 2017,41.86,0,0.2,13526,23356
December 2017,58.27,1,0.71,13567.5,26015
January 2018,46.57,0,0.62,13388.5,15656
February 2018,39.93,0,0.17,13745,17740
March 2018,46.49,0,0.2,13765,21693
April 2018,45.37,0,0.1,13912.5,18538
May 2018,43.29,0,0.21,13895,14624
June 2018,44.29,0,0.59,14330,18153
July 2018,45.34,0,0.28,14420,22330
August 2018,35.07,1,-0.05,14730,23753
September 2018,43.4,1,-0.18,14901.5,19851
October 2018,38.84,1,0.28,15202.5,15744
November 2018,50.54,0,0.27,14302.5,21538
December 2018,43.96,1,0.62,14380,19966
January 2019,42.85,0,0.32,13972.5,16253
February 2019,45.31,0,-0.08,14065,21815
March 2019,54.44,0,0.11,14240,21129
April 2019,49.83,0,0.44,14250,21613
May 2019,40.45,0,0.68,14275,15573
June 2019,49.53,1,0.55,14127.5,18935
July 2019,48.42,0,0.31,14017,20929
August 2019,47.88,1,0.12,14185,24623
September 2019,44.29,1,-0.27,14195,18913
October 2019,47.05,0,0.02,14037,21518
November 2019,52.1,0,0.14,14105,20798
December 2019,51.09,1,0.34,13882.5,22431
