BulanTahun,TingkatHunianHotel(%),Events,Inflasi,USDToRupiah,DataAktual
January 2015,47.86,0,-0.24,12667.5,17286
February 2015,48.61,0,-0.36,12925,18082
March 2015,53.05,0,0.17,13075,17491
April 2015,55.09,0,0.36,12962.5,15167
May 2015,54.24,0,0.5,13224,17558
June 2015,53.47,0,0.54,13332.5,15479
July 2015,53.03,0,0.93,13527.5,15879
August 2015,52.58,0,0.39,14050,16490
September 2015,49.85,1,-0.05,14650,14857
October 2015,51.13,0,-0.08,13687.5,14160
November 2015,51.6,1,0.21,13835,16203
December 2015,53.31,0,0.96,13787.5,19166
